"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"A6RC8I9Z","journalArticle","2022","Spry, Caroline; Kurpiel, Rebekah; Foley, Elizabeth; Penzo-Kajewski, Paul","Revisiting the “Quartz Problem” in Lithic Studies: A Review and New, Open-access, Experimental Dataset","Lithic Technology","","0197-7261","10.1080/01977261.2021.1981655","https://www.tandfonline.com/doi/full/10.1080/01977261.2021.1981655","","2022-04-03","2024-05-22 21:37:04","2025-03-04 12:33:12","2024-05-22 21:37:04","171-181","","2","47","","","Revisiting the “Quartz Problem” in Lithic Studies","","","","","","","","","","","","tandfonline.com (Atypon)","","Publisher: Routledge Citation Key: spry2022","","","","","experimental archaeology; knapping; lithics; open access; Quartz; stone technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HIVKK3GC","journalArticle","2002","Stout, Dietrich","Skill and Cognition in Stone Tool Production: An Ethnographic Case Study from Irian Jaya","Current Anthropology","","0011-3204","10.1086/342638","http://www.journals.uchicago.edu/doi/abs/10.1086/342638","Stone tools represent some of the best remaining evidence of prehistoric behavior and cognition. Interpreting this evidence properly requires models based on observable phenomena in the modern world. For this reason, ethnographic research was undertaken among the adze makers of the village of Langda in Indonesian Irian Jaya. This research, involving observation, interviews, and analysis of lithic products, revealed a technology of great sophistication and complexity. Adzemaking skill is acquired through a period of apprenticeship that may last five years or more, during which time the community of adze makers provides a social scaffold for the learning process. Adze production is itself a social phenomenon, defined as much by personal and group relations, social norms, and mythic significance as by specific reduction strategies and technical terminology. Adzemaking ability is associated not only with welldeveloped perceptualmotor and cognitive skills but also with a wealth of technological knowledge. Although much of the complexity of the Langda adze industry would be invisible to an archaeologist, evidence of knapping skill is preserved in attributes of the durable stone artifacts produced. This evidence may be used to develop productive hypotheses about the psychological implications of prehistoric stone tools.","2002-12-01","2017-12-29 11:53:45","2021-01-23 13:41:14","2017-12-29 11:53:45","693-722","","5","43","","Current Anthropology","Skill and Cognition in Stone Tool Production","","","","","","","","","","","","journals.uchicago.edu (Atypon)","","Citation Key: stout2002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TPK57RC2","journalArticle","1972","Garanger, José","Herminettes lithiques océaniennes : éléments de typologie","Journal de la Société des Océanistes","","","","","","1972","2020-01-08 11:04:49","2021-01-23 13:40:14","","253-274","","","28","","","","","","","","","","","","","","","","","Citation Key: garanger1972a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3RR8ALG4","journalArticle","2017","Hermann, Aymeric","Production des lames d'herminette dans l'île de Tupua'i (Archipel des Australes, Polynésie française): Spécialisation artisanale et évolution des chefferies en Polynésie centrale","Journal of Lithic Studies","","2055-0472","10.2218/jls.v4i2.2546","http://journals.ed.ac.uk/lithicstudies/article/view/2546","","2017-09","2017-12-23 16:40:51","2021-01-23 13:39:07","2017-12-23","351–385","","2","4","","","Production des lames d'herminette dans l'île de Tupua'i (Archipel des Australes, Polynésie française)","","","","","","","","All rights reserved","","","","","","tex.ids: hermann2017d, hermann2017e, hermann2017g Citation Key: hermann2017a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F73CIG83","book","1999","Inizan, Marie-Louise; Reduron-Ballinger, Michèle; Roche, Hélène; Tixier, Jacques","Technology and Terminology of Knapped Stone","","","","","","","1999","2020-01-28 11:03:56","2021-01-23 13:40:26","","","","","","","","","","","","","CREP","Meudon","","","","","","","","Citation Key: inizan1999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z3V6B6MU","book","1995","Inizan, Marie-Louise; Reduron-Ballinger, Michèle; Roche, Hélène; Tixier, Jacques","Technologie de la pierre taillée","","","","","","","1995","2020-01-28 11:01:37","2021-01-23 13:40:25","","","","","","","","","","","","","CREP","Meudon","","","","","","","","Citation Key: inizan1995","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YMGE7CXC","journalArticle","2010","Faivre, Jean-Philippe; Geneste, Jean-Michel; Turq, Alain","La fracturation en split, une technique de production dans l’industrie lithique des Tares (Sourzac, Dordogne)","PALEO. Revue d'archéologie préhistorique","","1145-3370","10.4000/paleo.1944","https://journals.openedition.org/paleo/1944","A partir du ré-examen de l’industrie du gisement des Tares et d’une expérimentation, une description de la fracturation en split est proposée. Elle se caractérise par une percussion rentrante, sur appui plus ou moins ferme, de direction strictement verticale, avec des percuteurs présentant une touche rectiligne.","2010-12-31","2021-09-10 07:53:49","2021-11-14 19:25:48","2021-09-10 07:53:49","133-142","","Numéro spécial","","","","","","","","","","","fr","PALEO est mis à disposition selon les termes de la licence Creative Commons Attribution - Pas d'Utilisation Commerciale - Pas de Modification 4.0 International.","","","","journals.openedition.org","","Number: Numéro spécial Publisher: Société des amis du Musée national de préhistoire et de la recherche archéologique (SAMRA) Citation Key: faivre2010","","","","","fracturation en split; Paléolithique inférieur et moyen; technologie lithique; touche rectiligne","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RNMQ7F8U","book","1930","Buck, Peter Henry","Samoan Material Culture","","","","","","","1930","2021-03-23 10:44:48","2021-09-07 10:22:36","","","207","","","","","","B.P. Bishop Museum Bulletin","75","","","Bernice P. Bishop Museum","Honolulu","en","","","","","","","Citation Key: buck1930","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YE3MZXVU","bookSection","2005","Pelegrin, Jacques","Remarks about Archaeological Techniques and Methods of Knapping: Elements of a Cognitive Approach to Stone Knapping","Stone knapping: The necessary conditions for a uniquely hominin behaviour","","","","","","2005","2025-03-04 11:10:25","2025-03-04 12:33:13","","23-33","","","","","","","","","","","McDonald Institute for Archaeological Research","Cambridge","","","","","","","","Citation Key: pelegrin2005","","","","","","","","","","","Roux, Valentine; Bril, Blandine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T65KBEAY","journalArticle","1987","Cotterell, Brian; Kamminga, Johan","The Formation of Flakes","American Antiquity","","0002-7316, 2325-5064","10.2307/281378","","An understanding of the mechanics involved in flake formation provides an opportunity for deriving more behavioral information from flake and flake scar morphology. The mechanics of flake formation are directly relevant to the identification of prehistoric flaking techniques and stone tool use. In this paper we provide a model of flake formation that accounts for much of the variation in flake morphology. Flakes can form in a number of ways and despite popular belief they are not all of the conchoidal variety. The bending flake is common in use wear though it is often misidentified as a conchoidal flake. A third major type of flake, the compression flake, is a common product of bipolar impact. To account for the wide variation in flake morphology we follow a tripartite scheme of flake formation comprising initiation, propagation, and termination phases, within which different mechanisms can operate.","1987-10","2025-03-04 13:15:36","2025-03-04 13:17:49","2025-03-04 13:15:36","675-708","","4","52","","","","","","","","","","en","","","","","Cambridge University Press","","Citation Key: cotterell1987","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
